Ref,Val,Package,PosX,PosY,Rot,Side
"Q1","2SC1945","SC-59_Handsoldering",-71.390000,-76.050000,90.000000,bottom
"Q2","2SC1945","SC-59_Handsoldering",-84.890000,-76.050000,90.000000,bottom
"Q3","2SC1945","SC-59_Handsoldering",-98.390000,-76.050000,90.000000,bottom
"Q4","2SC1945","SC-59_Handsoldering",-111.890000,-76.050000,90.000000,bottom
"Q5","2SC1945","SC-59_Handsoldering",-125.390000,-76.050000,90.000000,bottom
"Q6","2SC1945","SC-59_Handsoldering",-138.890000,-76.050000,90.000000,bottom
"Q7","2SC1945","SC-59_Handsoldering",-79.390000,-76.050000,90.000000,bottom
"Q8","2SC1945","SC-59_Handsoldering",-92.890000,-76.050000,90.000000,bottom
"Q9","2SC1945","SC-59_Handsoldering",-106.390000,-76.050000,90.000000,bottom
"Q10","2SC1945","SC-59_Handsoldering",-119.890000,-76.050000,90.000000,bottom
"Q11","2SC1945","SC-59_Handsoldering",-133.390000,-76.050000,90.000000,bottom
"Q12","2SC1945","SC-59_Handsoldering",-146.940000,-75.900000,90.000000,bottom
"R37","10k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",-76.140000,-94.200000,90.000000,bottom
"R38","10k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",-89.740000,-94.200000,90.000000,bottom
"R39","10k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",-103.740000,-94.200000,-90.000000,bottom
"R40","10k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",-118.140000,-94.200000,-90.000000,bottom
"R41","10k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",-132.140000,-94.200000,-90.000000,bottom
"R42","10k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",-144.140000,-94.337500,90.000000,bottom
"R43","10k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",-73.740000,-94.200000,-90.000000,bottom
"R44","10k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",-87.540000,-94.200000,90.000000,bottom
"R45","10k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",-101.540000,-94.200000,-90.000000,bottom
"R46","10k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",-115.540000,-94.200000,90.000000,bottom
"R47","10k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",-129.540000,-94.200000,90.000000,bottom
"R48","10k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",-141.540000,-94.337500,90.000000,bottom
"R49","10k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",-71.540000,-94.200000,90.000000,bottom
"R50","10k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",-85.140000,-94.200000,90.000000,bottom
"R51","10k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",-99.340000,-94.200000,90.000000,bottom
"R52","10k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",-112.940000,-94.200000,90.000000,bottom
"R53","10k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",-127.140000,-94.200000,90.000000,bottom
"R54","10k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",-139.140000,-94.425000,90.000000,bottom
